"DataExtractDate","ReportPeriod","Terminal","Arrival_Departure","Domestic_International","Passenger_Count"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T1","Departure","Domestic","160,413"
"2021 May 03 03:08:02 PM","2021 Mar 01 12:00:00 AM","T5","Departure","Domestic","223,866"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T5","Departure","Domestic","266,035"
"2021 Jul 10 06:01:27 AM","2021 Jun 01 12:00:00 AM","T6","Arrival","International","6,195"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T8","Arrival","Domestic","54,925"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T5","Arrival","Domestic","365,255"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","20,394"
"2021 May 03 03:08:02 PM","2021 Mar 01 12:00:00 AM","T6","Arrival","Domestic","110,785"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T7","Departure","International","15,251"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T1","Arrival","Domestic","162,770"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T4","Departure","Domestic","242,919"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","Miscellaneous Terminal","Arrival","International","199"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T4","Arrival","Domestic","207,905"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T4","Departure","International","17,142"
"2021 May 03 03:08:02 PM","2021 Mar 01 12:00:00 AM","T5","Arrival","Domestic","220,456"
"2021 Apr 09 10:34:29 AM","2021 Mar 01 12:00:00 AM","T6","Arrival","International","7,495"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T2","Departure","Domestic","258,987"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","244"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T2","Departure","International","19,161"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","19,884"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","65,705"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T8","Departure","Domestic","47,627"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T7","Arrival","Domestic","141,457"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T8","Departure","International","2,953"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T8","Departure","Domestic","49,034"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T5","Arrival","International","49"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T4","Arrival","International","2,351"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T8","Departure","International","1,255"
